ID,Substance,Task,Pipeline,Threshold,Sensitivity,Specificity,Accuracy,ROC AUC
ID12,Nectarine,Use,personal_ssl,0.47,0.583 ± 0.493,0.651 ± 0.343,0.750 ± 0.244,1.000 ± 0.000
ID13,Almond,Use,global_ssl,0.45,0.958 ± 0.201,0.341 ± 0.196,0.548 ± 0.166,0.968 ± 0.063
ID13,Carrot,Use,global_ssl,0.29,0.000 ± 0.000,0.799 ± 0.227,0.500 ± 0.203,0.260 ± 0.228
ID13,Nectarine,Use,global_ssl,0.27,1.000 ± 0.000,0.074 ± 0.085,0.557 ± 0.113,0.829 ± 0.101
ID13,Almond,Use,global_supervised,0.18,0.707 ± 0.322,0.560 ± 0.211,0.618 ± 0.163,0.754 ± 0.179
ID13,Carrot,Use,global_supervised,0.23,0.948 ± 0.222,0.409 ± 0.265,0.631 ± 0.196,0.604 ± 0.266
ID13,Nectarine,Use,global_supervised,0.17,0.933 ± 0.083,0.430 ± 0.167,0.692 ± 0.104,0.810 ± 0.103
ID13,Almond,Use,personal_ssl,0.47,0.958 ± 0.201,0.666 ± 0.194,0.772 ± 0.137,0.940 ± 0.095
ID13,Carrot,Use,personal_ssl,0.48,0.000 ± 0.000,0.997 ± 0.055,0.624 ± 0.192,0.522 ± 0.276
ID13,Nectarine,Use,personal_ssl,0.32,0.933 ± 0.083,0.507 ± 0.166,0.729 ± 0.099,0.747 ± 0.119
ID14,Carrot,Crave,global_ssl,0.45,0.664 ± 0.252,0.503 ± 0.343,0.608 ± 0.185,0.511 ± 0.269
ID14,Carrot,Use,global_ssl,0.43,0.813 ± 0.117,0.582 ± 0.183,0.715 ± 0.102,0.742 ± 0.123
ID14,Carrot,Crave,global_supervised,0.16,0.506 ± 0.255,0.000 ± 0.000,0.309 ± 0.170,0.390 ± 0.241
ID14,Carrot,Use,global_supervised,0.23,0.933 ± 0.078,0.166 ± 0.138,0.610 ± 0.111,0.761 ± 0.118
ID14,Carrot,Crave,personal_ssl,0.33,0.337 ± 0.246,0.503 ± 0.343,0.409 ± 0.186,0.344 ± 0.262
ID14,Carrot,Use,personal_ssl,0.43,0.749 ± 0.129,0.502 ± 0.185,0.645 ± 0.105,0.652 ± 0.147
ID15,Carrot,Crave,global_ssl,0.4,0.440 ± 0.210,0.285 ± 0.223,0.379 ± 0.144,0.313 ± 0.179
ID15,Carrot,Use,global_ssl,0.42,0.856 ± 0.119,0.153 ± 0.125,0.520 ± 0.120,0.646 ± 0.138
ID15,Carrot,Crave,global_supervised,0.16,0.667 ± 0.198,0.288 ± 0.232,0.503 ± 0.152,0.617 ± 0.197
ID15,Carrot,Use,global_supervised,0.23,0.926 ± 0.087,0.149 ± 0.122,0.555 ± 0.116,0.613 ± 0.137
ID15,Carrot,Crave,personal_ssl,0.36,0.886 ± 0.136,0.574 ± 0.245,0.752 ± 0.133,0.701 ± 0.195
ID15,Carrot,Use,personal_ssl,0.43,0.713 ± 0.155,0.535 ± 0.177,0.629 ± 0.115,0.740 ± 0.121
ID18,Carrot,Crave,global_ssl,0.43,0.726 ± 0.208,0.230 ± 0.274,0.554 ± 0.177,0.679 ± 0.215
ID18,Carrot,Use,global_ssl,0.47,0.880 ± 0.147,0.184 ± 0.232,0.622 ± 0.162,0.693 ± 0.241
ID18,Carrot,Crave,global_supervised,0.16,0.426 ± 0.230,0.724 ± 0.302,0.536 ± 0.174,0.644 ± 0.226
ID18,Carrot,Use,global_supervised,0.23,0.880 ± 0.147,0.380 ± 0.301,0.698 ± 0.151,0.766 ± 0.196
ID18,Carrot,Crave,personal_ssl,0.4,0.717 ± 0.214,0.249 ± 0.280,0.556 ± 0.178,0.498 ± 0.254
ID18,Carrot,Use,personal_ssl,0.51,0.748 ± 0.195,0.208 ± 0.257,0.546 ± 0.170,0.729 ± 0.195
ID19,Almond,Crave,global_ssl,0.08,0.000 ± 0.000,0.547 ± 0.182,0.461 ± 0.164,0.000 ± 0.000
ID19,Almond,Use,global_ssl,0.23,0.246 ± 0.291,0.326 ± 0.193,0.304 ± 0.155,0.268 ± 0.247
ID19,Melon,Crave,global_ssl,0.35,0.000 ± 0.000,0.498 ± 0.190,0.453 ± 0.180,0.000 ± 0.000
ID19,Melon,Use,global_ssl,0.4,0.997 ± 0.055,0.000 ± 0.000,0.466 ± 0.170,0.536 ± 0.223
ID19,Almond,Crave,global_supervised,0.5,0.000 ± 0.000,0.739 ± 0.165,0.624 ± 0.163,0.597 ± 0.192
ID19,Almond,Use,global_supervised,0.18,0.733 ± 0.316,0.327 ± 0.200,0.461 ± 0.171,0.565 ± 0.220
ID19,Melon,Crave,global_supervised,0.11,0.522 ± 0.500,0.297 ± 0.165,0.360 ± 0.166,1.000 ± 0.000
ID19,Melon,Use,global_supervised,0.24,0.997 ± 0.055,0.000 ± 0.000,0.466 ± 0.170,0.476 ± 0.234
ID19,Almond,Crave,personal_ssl,0.41,0.000 ± 0.000,0.358 ± 0.179,0.302 ± 0.155,0.000 ± 0.000
ID19,Almond,Use,personal_ssl,0.29,0.246 ± 0.291,0.671 ± 0.200,0.541 ± 0.171,0.242 ± 0.245
ID19,Melon,Crave,personal_ssl,0.38,0.000 ± 0.000,0.601 ± 0.182,0.549 ± 0.179,0.401 ± 0.196
ID19,Melon,Use,personal_ssl,0.35,0.333 ± 0.251,0.432 ± 0.247,0.387 ± 0.159,0.316 ± 0.214
ID20,Melon,Crave,global_ssl,0.35,0.988 ± 0.109,0.000 ± 0.000,0.503 ± 0.199,0.732 ± 0.226
ID20,Melon,Use,global_ssl,0.42,1.000 ± 0.000,0.420 ± 0.428,0.915 ± 0.096,0.672 ± 0.312
ID20,Nectarine,Crave,global_ssl,0.34,0.970 ± 0.171,0.866 ± 0.341,1.000 ± 0.000,1.000 ± 0.000
ID20,Nectarine,Use,global_ssl,0.4,0.779 ± 0.173,0.000 ± 0.000,0.542 ± 0.166,0.752 ± 0.176
ID20,Melon,Crave,global_supervised,0.11,0.489 ± 0.318,0.000 ± 0.000,0.251 ± 0.175,0.343 ± 0.263
ID20,Melon,Use,global_supervised,0.24,1.000 ± 0.000,0.000 ± 0.000,0.823 ± 0.131,0.165 ± 0.183
ID20,Nectarine,Crave,global_supervised,0.28,0.642 ± 0.344,0.866 ± 0.341,0.792 ± 0.211,1.000 ± 0.000
ID20,Nectarine,Use,global_supervised,0.17,0.788 ± 0.167,0.000 ± 0.000,0.549 ± 0.164,0.109 ± 0.134
ID20,Melon,Crave,personal_ssl,0.43,0.743 ± 0.281,0.757 ± 0.284,0.756 ± 0.176,0.727 ± 0.241
ID20,Melon,Use,personal_ssl,0.42,0.665 ± 0.188,0.420 ± 0.428,0.639 ± 0.170,0.792 ± 0.216
ID20,Nectarine,Crave,personal_ssl,0.51,0.970 ± 0.171,0.866 ± 0.341,1.000 ± 0.000,1.000 ± 0.000
ID20,Nectarine,Use,personal_ssl,0.36,0.330 ± 0.198,0.949 ± 0.220,0.533 ± 0.169,0.445 ± 0.221
ID21,Melon,Crave,global_ssl,0.29,0.840 ± 0.190,0.191 ± 0.225,0.556 ± 0.177,0.744 ± 0.212
ID21,Nectarine,Crave,global_ssl,0.34,0.929 ± 0.047,0.656 ± 0.090,0.796 ± 0.052,0.723 ± 0.072
ID21,Nectarine,Use,global_ssl,0.38,0.750 ± 0.213,0.359 ± 0.184,0.527 ± 0.145,0.612 ± 0.184
ID21,Melon,Crave,global_supervised,0.11,0.669 ± 0.242,0.397 ± 0.276,0.554 ± 0.175,0.639 ± 0.222
ID21,Nectarine,Crave,global_supervised,0.28,0.507 ± 0.090,0.606 ± 0.095,0.555 ± 0.063,0.624 ± 0.074
ID21,Nectarine,Use,global_supervised,0.17,0.742 ± 0.205,0.374 ± 0.179,0.533 ± 0.138,0.564 ± 0.170
ID21,Melon,Crave,personal_ssl,0.35,0.840 ± 0.190,0.593 ± 0.288,0.734 ± 0.157,0.673 ± 0.225
ID21,Nectarine,Crave,personal_ssl,0.44,0.767 ± 0.076,0.706 ± 0.089,0.738 ± 0.058,0.740 ± 0.070
ID21,Nectarine,Use,personal_ssl,0.44,0.618 ± 0.232,0.908 ± 0.110,0.784 ± 0.117,0.789 ± 0.158
